15384,1024,903
33800,2048,1744
27208,2048,1436
26888,2048,1409
12012,1024,725
16144,1024,973
34024,2048,1758
1224,128,121
23092,2048,1197
16108,1024,963
7256,512,510
27192,2048,1435
71532,4096,3350
14996,1024,864
7160,512,488
27332,2048,1467
59976,4096,2845
36272,2048,1925
27588,2048,1468
16120,1024,968
32324,2048,1692
16068,1024,956
16424,1024,987
58012,4096,2706
7156,512,496
7076,512,492
3072,256,258
32380,2048,1697
23104,2048,1184
16080,1024,957
34456,2048,1777
7152,512,497
35936,2048,1904
31924,2048,1637
27096,2048,1409
51700,4096,2437
34724,2048,1844
36468,2048,1957
36344,2048,1934
36272,2048,1926
23180,2048,1184
27204,2048,1427
16036,1024,966
35696,2048,1901
16080,1024,954
11816,1024,695
32024,2048,1644
36244,2048,1943
3020,256,245
34100,2048,1764
58556,4096,2750
16308,1024,993
980,128,105
36124,2048,1910
27432,2048,1456
15620,1024,904
14000,1024,808
76256,4096,3559
13920,1024,820
35892,2048,1875
27288,2048,1466
16088,1024,961
16184,1024,966
36396,2048,1940
24592,2048,1234
25472,2048,1322
15176,1024,877
35596,2048,1884
5332,512,372
14400,1024,851
36212,2048,1946
51168,4096,2379
34324,2048,1760
16356,1024,974
11264,1024,653
34492,2048,1789
37232,2048,1989
32108,2048,1658
35676,2048,1902
7476,512,542
35612,2048,1847
7212,512,512
36560,2048,1966
16028,1024,950
36104,2048,1892
16540,1024,1001
34428,2048,1802
16248,1024,970
27492,2048,1477
34652,2048,1817
37068,2048,2043
35588,2048,1877
27092,2048,1433
7136,512,495
35596,2048,1888
33696,2048,1753
32584,2048,1718
14344,1024,840
21144,2048,1062
56480,4096,2632
