13184,1024,737
14408,1024,877
14476,1024,863
10080,1024,584
16296,1024,1003
13712,1024,808
23104,2048,1192
11864,1024,716
6984,512,477
16184,1024,993
23388,2048,1254
27244,2048,1469
10880,1024,627
36196,2048,1969
7012,512,485
36344,2048,1976
33864,2048,1752
34976,2048,1863
16056,1024,968
15676,1024,954
10276,1024,592
27284,2048,1481
34404,2048,1811
26236,2048,1370
36108,2048,1954
36524,2048,1986
7696,512,515
11840,1024,721
32360,2048,1694
35624,2048,1887
15208,1024,895
15320,1024,908
16196,1024,994
16192,1024,958
15948,1024,936
16080,1024,973
12000,1024,701
14420,1024,863
15056,1024,869
16184,1024,989
3068,256,252
25244,2048,1333
7056,512,487
7076,512,489
23176,2048,1219
16124,1024,981
7496,512,531
26392,2048,1389
12176,1024,744
32036,2048,1687
16228,1024,987
36416,2048,1956
30496,2048,1574
31656,2048,1655
33136,2048,1779
27260,2048,1467
31324,2048,1641
34976,2048,1872
34744,2048,1854
14276,1024,837
36016,2048,1951
6892,512,478
27176,2048,1468
27132,2048,1438
14576,1024,874
11996,1024,710
27212,2048,1480
27088,2048,1449
14424,1024,855
26912,2048,1427
30744,2048,1578
15816,1024,964
2944,256,243
25764,2048,1367
34608,2048,1839
11240,1024,665
16416,1024,1012
6020,512,411
10404,1024,611
7012,512,485
32164,2048,1684
12196,1024,740
12192,1024,746
3140,256,263
7488,512,532
516,64,70
15352,1024,930
7420,512,533
47424,4096,2205
27220,2048,1476
27320,2048,1478
7272,512,504
25048,2048,1314
4392,512,287
32316,2048,1711
12048,1024,719
16088,1024,957
16996,1024,1033
7272,512,505
32300,2048,1706
